CD_IBGE;Cidade;Estado;Subtotal;Parcela Relativa;contagem;ticket medio;frete medio
4315602;RIO GRANDE;RS;126.80;0.12;1;126.80;20.57
4316105;RONDA ALTA;RS;139.90;0.13;1;139.90;36.93
4316808;SANTA CRUZ DO SUL;RS;229.60;0.22;2;114.80;19.77
4317509;SANTO ANGELO;RS;189.80;0.18;1;189.80;20.33
4317608;SANTO ANTONIO DA PATRULHA;RS;225.80;0.21;2;112.90;49.62
4318705;SAO LEOPOLDO;RS;89.90;0.08;1;89.90;19.17
4318903;SAO LUIZ GONZAGA;RS;118.80;0.11;2;59.40;19.17
4320008;SAPUCAIA DO SUL;RS;269.70;0.25;2;134.85;19.56
4320206;SEBERI;RS;571.20;0.54;1;571.20;
4320800;SOLEDADE;RS;814.40;0.77;1;814.40;
4322004;TRIUNFO;RS;89.90;0.08;1;89.90;49.36
5002209;BONITO;MS;268.70;0.25;1;268.70;29.77
5002704;CAMPO GRANDE;MS;304.60;0.29;2;152.30;41.70
5003256;COSTA RICA;MS;112.90;0.11;1;112.90;29.96
5003702;DOURADOS;MS;89.90;0.08;1;89.90;29.70
5006606;PONTA PORA;MS;89.90;0.08;1;89.90;57.82
5007695;SAO GABRIEL DO OESTE;MS;81.90;0.08;1;81.90;29.67
5101258;ARAPUTANGA;MT;159.90;0.15;1;159.90;50.16
5105259;LUCAS DO RIO VERDE;MT;112.90;0.11;1;112.90;25.97
5108402;VARZEA GRANDE;MT;78.90;0.07;1;78.90;24.36
5200159;ADELANDIA;GO;144.90;0.14;1;144.90;31.93
5201108;ANAPOLIS;GO;101.90;0.10;1;101.90;21.88
5201405;APARECIDA DE GOIANIA;GO;121.80;0.11;1;121.80;22.02
5206206;CRISTALINA;GO;187.70;0.18;1;187.70;62.27
5208004;FORMOSA;GO;12.00;0.01;1;12.00;22.25
5208707;GOIANIA;GO;403.70;0.38;4;100.93;22.16
5210208;IPORA;GO;78.90;0.07;1;78.90;29.64
5211909;JATAI;GO;67.90;0.06;1;67.90;21.87
5213806;MORRINHOS;GO;280.70;0.27;1;280.70;36.79
5217104;PIRACANJUBA;GO;143.25;0.14;1;143.25;39.16
5218003;PORANGATU;GO;149.80;0.14;1;149.80;28.88
5218805;RIO VERDE;GO;112.90;0.11;1;112.90;21.97
5220207;SAO MIGUEL DO ARAGUAIA;GO;89.90;0.08;1;89.90;29.70
5221502;TURVANIA;GO;89.90;0.08;1;89.90;29.70
5300108;BRASILIA;DF;2064.80;1.95;15;137.65;23.82
